crc,take_type,allo_block,use_type,in_gw_allo,max_rate_crc,from_date,to_date,daily_vol,feav,from_month,to_month,crc_status
CRC001087.2,Take Groundwater,A,irrigation,True,45.519999999999996,2009-11-04,2035-03-27,3932.93,487656.0,7,6,Issued - Active
CRC001382,Take Groundwater,A,irrigation,True,61.0,2000-03-28,2035-03-27,5051.0,687419.0,7,6,Issued - Active
CRC001609,Take Groundwater,A,irrigation,True,4.4,2000-04-17,2035-04-13,131.5,16971.0,7,6,Issued - Active
CRC001953.1,Take Surface Water,A,industrial,False,27.990000000000002,2002-06-24,2036-01-19,2418.34,882694.1000000001,7,6,Issued - Active
CRC001999,Take Groundwater,A,irrigation,True,5.0,2000-07-21,2035-07-18,432.0,48239.0,7,6,Issued - Active
CRC002108,Take Groundwater,A,stockwater,True,20.0,2006-02-09,2041-01-30,1328.0,484720.0,7,6,Issued - Active
CRC010181,Take Surface Water,A,irrigation,False,453.0,2005-10-27,2028-06-30,39140.0,5850000.0,7,6,Issued - Active
CRC010365,Take Groundwater,A,irrigation,True,38.0,2002-06-14,2037-06-12,2052.0,254026.0,7,6,Issued - Active
CRC011065.1,Take Groundwater,A,irrigation,True,106.0,2008-07-25,2035-01-31,9158.4,1255352.0,7,6,Issued - Active
CRC011072,Take Groundwater,A,irrigation,True,50.0,2001-02-09,2036-02-09,4320.0,564033.0,7,6,Issued - Active
CRC011116,Take Groundwater,A,irrigation,True,1.3,2001-01-29,2036-01-26,79.56,11314.0,7,6,Issued - Active
CRC011245,Take Surface Water,A,irrigation,False,7100.0,2008-04-16,2043-04-16,613440.0,223292160.0,7,6,Issued - Active
CRC011331.1,Take Groundwater,A,irrigation,True,2.0,2011-12-23,2036-02-13,57.57,5657.0,7,6,Issued - Active
CRC011820.3,Take Groundwater,A,industrial,True,4.0,2008-04-30,2036-12-20,345.6,24076.0,7,6,Issued - Active
CRC011923,Take Groundwater,A,water_supply,True,36.0,2002-08-08,2037-08-08,3110.4,470000.0,7,6,Issued - Active
CRC012482.1,Take Groundwater,A,irrigation,True,79.0,2010-04-26,2036-09-07,2430.0,820028.0,7,6,Issued - Active
CRC012671,Take Groundwater,A,irrigation,True,13.0,2001-08-09,2036-08-07,527.14,72774.0,7,6,Issued - Active
CRC020211,Take Groundwater,A,irrigation,True,45.0,2001-11-05,2036-11-01,3888.0,500590.0,7,6,Issued - Active
CRC020484.1,Take Groundwater,A,irrigation,True,100.0,2004-04-14,2036-10-18,8640.0,869578.0,7,6,Issued - Active
