,crc,take_type,allo_block,wap,sd1_7,max_rate_wap,in_sw_allo,sd1_150,sd1_30,rate_ratio,ExtSiteID
0,CRC001087.2,Take Groundwater,A,K37/0093,0.0,45.5,True,0.0,0.0,0.20495495495495494,1688218
1,CRC001087.2,Take Groundwater,A,K37/0093,0.0,45.5,True,0.0,0.0,0.20495495495495494,168840
2,CRC001087.2,Take Groundwater,A,K37/0094,0.0,45.5,True,0.0,0.0,0.20495495495495494,1688218
3,CRC001087.2,Take Groundwater,A,K37/0094,0.0,45.5,True,0.0,0.0,0.20495495495495494,168840
4,CRC001087.2,Take Groundwater,A,K37/3239,99.0,45.5,True,100.0,99.0,0.20495495495495494,1688218
5,CRC001087.2,Take Groundwater,A,K37/3239,99.0,45.5,True,100.0,99.0,0.20495495495495494,168840
6,CRC001087.2,Take Groundwater,A,K37/3240,0.0,45.5,True,0.0,0.0,0.20495495495495494,1688218
7,CRC001087.2,Take Groundwater,A,K37/3240,0.0,45.5,True,0.0,0.0,0.20495495495495494,168840
8,CRC001087.2,Take Groundwater,A,K37/3272,0.0,40.0,True,0.0,0.0,0.18018018018018017,1688218
9,CRC001087.2,Take Groundwater,A,K37/3272,0.0,40.0,True,0.0,0.0,0.18018018018018017,168840
10,CRC001382,Take Groundwater,A,K37/0452,0.0,61.0,True,0.0,0.0,1.0,68801
11,CRC001382,Take Groundwater,A,K37/0452,0.0,61.0,True,0.0,0.0,1.0,168833
12,CRC001609,Take Groundwater,A,K37/1032,29.0,4.4,True,82.0,61.0,1.0,68801
13,CRC001953.1,Take Surface Water,A,K35/0048,100.0,28.0,True,100.0,100.0,0.3333333333333333,168834
14,CRC001953.1,Take Surface Water,A,K35/0048,100.0,28.0,True,100.0,100.0,0.3333333333333333,168849
15,CRC001953.1,Take Surface Water,A,K35/0048,100.0,28.0,True,100.0,100.0,0.3333333333333333,68801
16,CRC001953.1,Take Surface Water,A,K35/0049,100.0,28.0,True,100.0,100.0,0.3333333333333333,168834
17,CRC001953.1,Take Surface Water,A,K35/0049,100.0,28.0,True,100.0,100.0,0.3333333333333333,168849
18,CRC001953.1,Take Surface Water,A,K35/0049,100.0,28.0,True,100.0,100.0,0.3333333333333333,68801
19,CRC001953.1,Take Surface Water,A,K35/0050,100.0,28.0,True,100.0,100.0,0.3333333333333333,168834
20,CRC001953.1,Take Surface Water,A,K35/0050,100.0,28.0,True,100.0,100.0,0.3333333333333333,168849
21,CRC001953.1,Take Surface Water,A,K35/0050,100.0,28.0,True,100.0,100.0,0.3333333333333333,68801
22,CRC001999,Take Groundwater,A,K37/1066,41.0,5.0,True,86.0,69.0,1.0,68801
23,CRC002108,Take Groundwater,A,K36/0129,79.0,20.0,True,95.0,90.0,1.0,168834
24,CRC002108,Take Groundwater,A,K36/0129,79.0,20.0,True,95.0,90.0,1.0,68801
25,CRC010181,Take Surface Water,A,K37/2874,100.0,453.0,True,100.0,100.0,1.0,68801
26,CRC010181,Take Surface Water,A,K37/2874,100.0,453.0,True,100.0,100.0,1.0,168833
27,CRC010365,Take Groundwater,A,BX20/0038,56.0,38.0,True,90.0,78.0,1.0,168834
28,CRC010365,Take Groundwater,A,BX20/0038,56.0,38.0,True,90.0,78.0,1.0,68801
29,CRC010365,Take Groundwater,A,BX20/0038,56.0,38.0,True,90.0,78.0,1.0,168837
30,CRC011065.1,Take Groundwater,A,K37/1062,0.0,53.0,True,0.0,0.0,0.5,68801
31,CRC011065.1,Take Groundwater,A,K37/2116,0.0,53.0,True,0.0,0.0,0.5,68801
32,CRC011065.1,Take Groundwater,A,K37/2116,0.0,53.0,True,0.0,0.0,0.5,168833
33,CRC011072,Take Groundwater,A,K37/1294,0.0,50.0,True,0.0,0.0,1.0,68801
34,CRC011072,Take Groundwater,A,K37/1294,0.0,50.0,True,0.0,0.0,1.0,168833
35,CRC011116,Take Groundwater,A,K37/1317,68.0,1.3,True,93.0,84.0,1.0,68801
36,CRC011245,Take Surface Water,A,K36/0920,100.0,7100.0,True,100.0,100.0,1.0,68801
