RecordNumber,HydroFeature,AllocationBlock,Wap,FromDate,ToDate,FromMonth,ToMonth,AllocatedRate,AllocatedAnnualVolume,WaterUse,IrrigationArea,ConsentStatus,ExtSiteName,NZTMX,NZTMY,CatchmentName,CatchmentNumber,CatchmentGroupName,CatchmentGroupNumber,SwazName,SwazGroupName,SwazSubRegionalName,GwazName,CwmsName,FlowSite
CRC000072.1,Surface Water,A,K36/0955,2007-06-28,2014-07-25,7,6,60.0,576458,agriculture,140,Terminated - Replaced,Missing Name,1479918.50242443,5172161.94189515,North Branch Ashburton River / Hakatere,6880100.0,Ashburton River,688.0,North Branch,Ashburton River,Ashburton,Ashburton River,Ashburton,68801
CRC000072.1,Surface Water,A,K36/0955,2007-06-28,2014-07-25,7,6,60.0,576458,agriculture,140,Terminated - Replaced,Missing Name,1479918.50242443,5172161.94189515,North Branch Ashburton River / Hakatere,6880100.0,Ashburton River,688.0,North Branch,Ashburton River,Ashburton,Ashburton River,Ashburton,168833
CRC000072.1,Surface Water,A,K36/0955,2007-06-28,2014-07-25,7,6,60.0,576458,agriculture,140,Terminated - Replaced,Missing Name,1479918.50242443,5172161.94189515,North Branch Ashburton River / Hakatere,6880100.0,Ashburton River,688.0,North Branch,Ashburton River,Ashburton,Ashburton River,Ashburton,168841
CRC000072.1,Surface Water,A,K36/0955,2007-06-28,2014-07-25,7,6,60.0,576458,agriculture,140,Terminated - Replaced,Missing Name,1479918.50242443,5172161.94189515,North Branch Ashburton River / Hakatere,6880100.0,Ashburton River,688.0,North Branch,Ashburton River,Ashburton,Ashburton River,Ashburton,168846
CRC151569,Surface Water,A,K36/0955,2014-07-25,2030-07-25,7,6,60.0,576458,agriculture,140,Issued - Active,Missing Name,1479918.50242443,5172161.94189515,North Branch Ashburton River / Hakatere,6880100.0,Ashburton River,688.0,North Branch,Ashburton River,Ashburton,Ashburton River,Ashburton,68801
CRC151569,Surface Water,A,K36/0955,2014-07-25,2030-07-25,7,6,60.0,576458,agriculture,140,Issued - Active,Missing Name,1479918.50242443,5172161.94189515,North Branch Ashburton River / Hakatere,6880100.0,Ashburton River,688.0,North Branch,Ashburton River,Ashburton,Ashburton River,Ashburton,168833
CRC151569,Surface Water,A,K36/0955,2014-07-25,2030-07-25,7,6,60.0,576458,agriculture,140,Issued - Active,Missing Name,1479918.50242443,5172161.94189515,North Branch Ashburton River / Hakatere,6880100.0,Ashburton River,688.0,North Branch,Ashburton River,Ashburton,Ashburton River,Ashburton,168841
CRC151569,Surface Water,A,K36/0955,2014-07-25,2030-07-25,7,6,60.0,576458,agriculture,140,Issued - Active,Missing Name,1479918.50242443,5172161.94189515,North Branch Ashburton River / Hakatere,6880100.0,Ashburton River,688.0,North Branch,Ashburton River,Ashburton,Ashburton River,Ashburton,168846
CRC000205.1,Groundwater,A,K36/0322,2001-03-07,2015-02-11,7,6,26.0,339087,agriculture,100,Terminated - Replaced,Missing Name,1475515.30628843,5154733.94111648,South Branch Ashburton River / Hakatere,6880300.0,Ashburton River,688.0,South Branch,Ashburton River,Ashburton,Ashburton River,Ashburton,68801
CRC000205.1,Groundwater,A,K36/0322,2001-03-07,2015-02-11,7,6,26.0,339087,agriculture,100,Terminated - Replaced,Missing Name,1475515.30628843,5154733.94111648,South Branch Ashburton River / Hakatere,6880300.0,Ashburton River,688.0,South Branch,Ashburton River,Ashburton,Ashburton River,Ashburton,168833
CRC000205.1,Surface Water,A,K36/0322,2001-03-07,2015-02-11,7,6,12.0,378473,agriculture,100,Terminated - Replaced,Missing Name,1475515.30628843,5154733.94111648,South Branch Ashburton River / Hakatere,6880300.0,Ashburton River,688.0,South Branch,Ashburton River,Ashburton,Ashburton River,Ashburton,68801
CRC000205.1,Surface Water,A,K36/0322,2001-03-07,2015-02-11,7,6,12.0,378473,agriculture,100,Terminated - Replaced,Missing Name,1475515.30628843,5154733.94111648,South Branch Ashburton River / Hakatere,6880300.0,Ashburton River,688.0,South Branch,Ashburton River,Ashburton,Ashburton River,Ashburton,168833
CRC155220,Groundwater,A,K36/0322,2001-03-07,2034-10-19,7,6,21.0,339087,agriculture,100,Issued - Active,Missing Name,1475515.30628843,5154733.94111648,South Branch Ashburton River / Hakatere,6880300.0,Ashburton River,688.0,South Branch,Ashburton River,Ashburton,Ashburton River,Ashburton,68801
CRC155220,Groundwater,A,K36/0322,2001-03-07,2034-10-19,7,6,21.0,339087,agriculture,100,Issued - Active,Missing Name,1475515.30628843,5154733.94111648,South Branch Ashburton River / Hakatere,6880300.0,Ashburton River,688.0,South Branch,Ashburton River,Ashburton,Ashburton River,Ashburton,168833
CRC155220,Surface Water,A,K36/0322,2001-03-07,2034-10-19,7,6,17.0,536171,agriculture,100,Issued - Active,Missing Name,1475515.30628843,5154733.94111648,South Branch Ashburton River / Hakatere,6880300.0,Ashburton River,688.0,South Branch,Ashburton River,Ashburton,Ashburton River,Ashburton,68801
CRC155220,Surface Water,A,K36/0322,2001-03-07,2034-10-19,7,6,17.0,536171,agriculture,100,Issued - Active,Missing Name,1475515.30628843,5154733.94111648,South Branch Ashburton River / Hakatere,6880300.0,Ashburton River,688.0,South Branch,Ashburton River,Ashburton,Ashburton River,Ashburton,168833
CRC000248,Groundwater,A,K37/0838,1999-09-07,2009-05-05,7,6,10.0,256899,agriculture,50,Terminated - Replaced,Missing Name,1489756.0,5148019.0,South Branch Ashburton River / Hakatere,6880300.0,Ashburton River,688.0,South Branch,Ashburton River,Ashburton,Ashburton River,Ashburton,68801
CRC000248,Groundwater,A,K37/0838,1999-09-07,2009-05-05,7,6,10.0,256899,agriculture,50,Terminated - Replaced,Missing Name,1489756.0,5148019.0,South Branch Ashburton River / Hakatere,6880300.0,Ashburton River,688.0,South Branch,Ashburton River,Ashburton,Ashburton River,Ashburton,168833
CRC000248,Surface Water,A,K37/0838,1999-09-07,2009-05-05,7,6,13.0,410013,agriculture,50,Terminated - Replaced,Missing Name,1489756.0,5148019.0,South Branch Ashburton River / Hakatere,6880300.0,Ashburton River,688.0,South Branch,Ashburton River,Ashburton,Ashburton River,Ashburton,68801
CRC000248,Surface Water,A,K37/0838,1999-09-07,2009-05-05,7,6,13.0,410013,agriculture,50,Terminated - Replaced,Missing Name,1489756.0,5148019.0,South Branch Ashburton River / Hakatere,6880300.0,Ashburton River,688.0,South Branch,Ashburton River,Ashburton,Ashburton River,Ashburton,168833
CRC000248.1,Groundwater,A,K37/0838,2009-05-05,2012-04-26,7,6,10.0,256899,agriculture,50,Terminated - Replaced,Missing Name,1489756.0,5148019.0,South Branch Ashburton River / Hakatere,6880300.0,Ashburton River,688.0,South Branch,Ashburton River,Ashburton,Ashburton River,Ashburton,68801
CRC000248.1,Groundwater,A,K37/0838,2009-05-05,2012-04-26,7,6,10.0,256899,agriculture,50,Terminated - Replaced,Missing Name,1489756.0,5148019.0,South Branch Ashburton River / Hakatere,6880300.0,Ashburton River,688.0,South Branch,Ashburton River,Ashburton,Ashburton River,Ashburton,168833
CRC000248.1,Surface Water,A,K37/0838,2009-05-05,2012-04-26,7,6,13.0,410013,agriculture,50,Terminated - Replaced,Missing Name,1489756.0,5148019.0,South Branch Ashburton River / Hakatere,6880300.0,Ashburton River,688.0,South Branch,Ashburton River,Ashburton,Ashburton River,Ashburton,68801
CRC000248.1,Surface Water,A,K37/0838,2009-05-05,2012-04-26,7,6,13.0,410013,agriculture,50,Terminated - Replaced,Missing Name,1489756.0,5148019.0,South Branch Ashburton River / Hakatere,6880300.0,Ashburton River,688.0,South Branch,Ashburton River,Ashburton,Ashburton River,Ashburton,168833
CRC000248.2,Groundwater,A,K37/0838,2012-04-26,2016-10-13,7,6,10.0,256899,agriculture,50,Terminated - Replaced,Missing Name,1489756.0,5148019.0,South Branch Ashburton River / Hakatere,6880300.0,Ashburton River,688.0,South Branch,Ashburton River,Ashburton,Ashburton River,Ashburton,68801
CRC000248.2,Groundwater,A,K37/0838,2012-04-26,2016-10-13,7,6,10.0,256899,agriculture,50,Terminated - Replaced,Missing Name,1489756.0,5148019.0,South Branch Ashburton River / Hakatere,6880300.0,Ashburton River,688.0,South Branch,Ashburton River,Ashburton,Ashburton River,Ashburton,168833
CRC000248.2,Surface Water,A,K37/0838,2012-04-26,2016-10-13,7,6,13.0,410013,agriculture,50,Terminated - Replaced,Missing Name,1489756.0,5148019.0,South Branch Ashburton River / Hakatere,6880300.0,Ashburton River,688.0,South Branch,Ashburton River,Ashburton,Ashburton River,Ashburton,68801
CRC000248.2,Surface Water,A,K37/0838,2012-04-26,2016-10-13,7,6,13.0,410013,agriculture,50,Terminated - Replaced,Missing Name,1489756.0,5148019.0,South Branch Ashburton River / Hakatere,6880300.0,Ashburton River,688.0,South Branch,Ashburton River,Ashburton,Ashburton River,Ashburton,168833
CRC001087,Groundwater,A,K37/0093,2000-03-28,2009-01-12,7,6,22.75,243828,agriculture,141,Terminated - Replaced,Missing Name,1494205.58748723,5139792.8395124,Carters Creek/Laghmor Creek,6880200.0,Ashburton River,688.0,Lagmhor,Ashburton River,Ashburton,Ashburton River,Ashburton,1688218
CRC001087,Groundwater,A,K37/0093,2000-03-28,2009-01-12,7,6,22.75,243828,agriculture,141,Terminated - Replaced,Missing Name,1494205.58748723,5139792.8395124,Carters Creek/Laghmor Creek,6880200.0,Ashburton River,688.0,Lagmhor,Ashburton River,Ashburton,Ashburton River,Ashburton,168840
CRC001087.1,Groundwater,A,K37/0093,2009-01-12,2009-11-04,7,6,11.38,121914,agriculture,141,Terminated - Replaced,Missing Name,1494205.58748723,5139792.8395124,Carters Creek/Laghmor Creek,6880200.0,Ashburton River,688.0,Lagmhor,Ashburton River,Ashburton,Ashburton River,Ashburton,1688218
CRC001087.1,Groundwater,A,K37/0093,2009-01-12,2009-11-04,7,6,11.38,121914,agriculture,141,Terminated - Replaced,Missing Name,1494205.58748723,5139792.8395124,Carters Creek/Laghmor Creek,6880200.0,Ashburton River,688.0,Lagmhor,Ashburton River,Ashburton,Ashburton River,Ashburton,168840
CRC001087.2,Groundwater,A,K37/0093,2009-11-04,2035-03-27,7,6,9.33,97531,agriculture,141,Issued - Active,Missing Name,1494205.58748723,5139792.8395124,Carters Creek/Laghmor Creek,6880200.0,Ashburton River,688.0,Lagmhor,Ashburton River,Ashburton,Ashburton River,Ashburton,1688218
CRC001087.2,Groundwater,A,K37/0093,2009-11-04,2035-03-27,7,6,9.33,97531,agriculture,141,Issued - Active,Missing Name,1494205.58748723,5139792.8395124,Carters Creek/Laghmor Creek,6880200.0,Ashburton River,688.0,Lagmhor,Ashburton River,Ashburton,Ashburton River,Ashburton,168840
CRC001087,Groundwater,A,K37/0094,2000-03-28,2009-01-12,7,6,22.75,243828,agriculture,141,Terminated - Replaced,Missing Name,1494395.60073232,5139527.93211123,Carters Creek/Laghmor Creek,6880200.0,Ashburton River,688.0,Lagmhor,Ashburton River,Ashburton,Ashburton River,Ashburton,1688218
