,Flow,Flow,Flow,Flow,Flow,Flow,Flow,Flow,SwUsageRate,SwUsageRate,SwUsageRate,SwUsageRate,SwUsageRate,SwUsageRate,SwUsageRate,SwUsageRate,NatFlow,NatFlow,NatFlow,NatFlow,NatFlow,NatFlow,NatFlow,NatFlow
FlowSite,168821,1688218,168833,168834,168837,168846,68801,68810,168821,1688218,168833,168834,168837,168846,68801,68810,168821,1688218,168833,168834,168837,168846,68801,68810
Date,,,,,,,,,,,,,,,,,,,,,,,,
2007-07-31,66.311,0.228,10.204,4.419,0.499,0.438,16.271,5.101,0.073,0.001,1.034,0.783,0.217,0.007,1.821,0.0,66.384,0.229,11.237,5.202,0.716,0.446,18.092,5.101
2007-08-01,24.234,0.159,7.391,2.085,0.347,0.254,10.693,4.503,0.08,0.001,1.125,0.851,0.236,0.008,1.981,0.0,24.314,0.16,8.516,2.937,0.583,0.263,12.674,4.503
2007-08-02,13.936,0.13,6.358,1.469,0.283,0.195,8.791,4.11,0.087,0.001,1.215,0.919,0.254,0.009,2.138,0.0,14.023,0.131,7.573,2.388,0.537,0.204,10.929,4.11
2007-08-03,9.884,0.114,5.801,1.186,0.25,0.165,7.801,3.818,0.093,0.001,1.303,0.985,0.272,0.01,2.293,0.0,9.977,0.115,7.103,2.172,0.522,0.175,10.094,3.818
2007-08-04,8.665,0.117,6.324,1.451,0.252,0.119,8.73,3.879,0.099,0.001,1.389,1.05,0.289,0.01,2.445,0.0,8.764,0.119,7.713,2.501,0.541,0.129,11.175,3.879
2007-08-05,20.44,0.32,8.377,2.791,0.284,0.438,12.586,3.935,0.105,0.001,1.472,1.112,0.306,0.011,2.591,0.0,20.545,0.322,9.849,3.903,0.59,0.449,15.177,3.935
2007-08-06,16.004,0.176,7.633,2.248,0.292,0.24,11.152,4.078,0.111,0.001,1.552,1.172,0.322,0.011,2.73,0.0,16.115,0.177,9.185,3.42,0.614,0.252,13.882,4.078
2007-08-07,12.039,0.136,7.23,1.981,0.263,0.187,10.391,3.965,0.116,0.002,1.628,1.228,0.337,0.012,2.862,0.0,12.155,0.138,8.858,3.209,0.6,0.199,13.253,3.965
2007-08-08,9.463,0.115,6.725,1.674,0.237,0.157,9.456,3.745,0.121,0.002,1.698,1.28,0.351,0.013,2.985,0.0,9.584,0.117,8.423,2.954,0.588,0.17,12.441,3.745
2007-08-09,7.826,0.104,6.447,1.517,0.229,0.143,8.951,3.765,0.126,0.002,1.763,1.328,0.364,0.013,3.098,0.0,7.952,0.106,8.21,2.845,0.593,0.156,12.049,3.765
2007-08-10,6.796,0.097,6.829,1.735,0.248,0.131,9.648,4.211,0.13,0.002,1.822,1.37,0.375,0.014,3.199,0.0,6.926,0.099,8.651,3.105,0.623,0.145,12.847,4.211
2007-08-11,6.841,0.092,6.968,1.818,0.399,0.126,9.903,6.166,0.134,0.002,1.873,1.408,0.385,0.014,3.288,0.0,6.975,0.093,8.841,3.225,0.784,0.14,13.191,6.166
2007-08-12,6.958,0.087,11.223,5.515,1.503,0.162,18.417,12.184,0.137,0.002,1.917,1.438,0.393,0.014,3.363,0.0,7.095,0.089,13.139,6.953,1.896,0.176,21.78,12.184
2007-08-13,5.901,0.084,9.263,3.527,0.636,0.194,14.346,7.052,0.14,0.002,1.952,1.463,0.4,0.015,3.422,0.0,6.041,0.086,11.215,4.99,1.036,0.209,17.768,7.052
2007-08-14,5.317,0.082,7.832,2.386,0.482,0.23,11.531,5.732,0.142,0.002,1.977,1.48,0.404,0.015,3.465,0.0,5.459,0.084,9.809,3.866,0.886,0.244,14.996,5.732
2007-08-15,4.643,0.078,6.634,1.621,0.394,0.2,9.29,4.984,0.143,0.002,1.993,1.489,0.406,0.015,3.49,0.0,4.786,0.08,8.627,3.111,0.8,0.215,12.78,4.984
2007-08-16,4.388,0.077,6.062,1.314,0.352,0.177,8.261,4.71,0.144,0.002,2.003,1.494,0.407,0.015,3.505,0.0,4.532,0.079,8.065,2.809,0.759,0.192,11.766,4.71
2007-08-17,4.441,0.076,6.109,1.339,0.411,0.137,8.346,5.227,0.145,0.002,2.01,1.499,0.408,0.015,3.518,0.0,4.585,0.078,8.12,2.838,0.818,0.152,11.864,5.227
2007-08-18,4.476,0.075,6.997,1.836,0.403,0.151,9.958,5.181,0.145,0.002,2.016,1.504,0.409,0.015,3.528,0.0,4.621,0.076,9.013,3.34,0.812,0.166,13.486,5.181
2007-08-19,4.255,0.074,6.645,1.628,0.354,0.122,9.311,4.757,0.146,0.002,2.019,1.509,0.41,0.015,3.536,0.0,4.401,0.076,8.665,3.136,0.764,0.137,12.847,4.757
2007-08-20,3.949,0.073,6.344,1.461,0.333,0.11,8.765,4.572,0.146,0.002,2.021,1.513,0.41,0.015,3.542,0.0,4.095,0.075,8.365,2.974,0.743,0.126,12.307,4.572
2007-08-21,3.746,0.072,6.161,1.365,0.309,0.113,8.438,4.367,0.147,0.002,2.021,1.517,0.411,0.015,3.546,0.0,3.893,0.074,8.182,2.882,0.72,0.128,11.984,4.367
2007-08-22,3.523,0.071,5.972,1.269,0.291,0.117,8.102,4.241,0.147,0.002,2.02,1.521,0.411,0.015,3.548,0.0,3.67,0.073,7.992,2.79,0.702,0.132,11.65,4.241
2007-08-23,3.228,0.071,5.822,1.196,0.275,0.12,7.838,4.053,0.148,0.002,2.017,1.525,0.412,0.015,3.549,0.0,3.376,0.072,7.839,2.721,0.687,0.136,11.387,4.053
2007-08-24,3.035,0.071,5.705,1.141,0.262,0.12,7.634,3.902,0.148,0.002,2.013,1.528,0.412,0.015,3.548,0.0,3.182,0.072,7.718,2.669,0.674,0.135,11.182,3.902
2007-08-25,2.846,0.07,5.785,1.179,0.247,0.13,7.773,3.76,0.148,0.001,2.008,1.531,0.413,0.015,3.546,0.0,2.994,0.071,7.793,2.71,0.66,0.145,11.319,3.76
2007-08-26,2.691,0.07,5.657,1.119,0.235,0.13,7.55,3.69,0.148,0.001,2.002,1.535,0.413,0.015,3.543,0.0,2.839,0.071,7.659,2.654,0.649,0.145,11.093,3.69
2007-08-27,2.579,0.071,5.554,1.072,0.225,0.128,7.373,3.618,0.148,0.001,1.995,1.538,0.414,0.015,3.539,0.0,2.728,0.072,7.549,2.61,0.639,0.144,10.912,3.618
2007-08-28,2.542,0.071,5.49,1.044,0.222,0.131,7.262,3.604,0.148,0.001,1.987,1.541,0.414,0.015,3.534,0.0,2.69,0.072,7.477,2.584,0.636,0.146,10.796,3.604
2007-08-29,2.443,0.072,5.445,1.024,0.215,0.145,7.184,3.488,0.148,0.001,1.979,1.543,0.414,0.015,3.528,0.0,2.591,0.073,7.423,2.567,0.63,0.16,10.712,3.488
2007-08-30,2.322,0.072,5.363,0.988,0.21,0.148,7.044,3.437,0.148,0.001,1.97,1.546,0.415,0.015,3.521,0.0,2.471,0.073,7.333,2.534,0.625,0.163,10.565,3.437
2007-08-31,2.168,0.071,5.297,0.96,0.196,0.163,6.932,3.268,0.148,0.001,1.961,1.549,0.415,0.015,3.514,0.0,2.316,0.072,7.258,2.509,0.611,0.178,10.446,3.268
2007-09-01,2.099,0.07,5.12,0.887,0.191,0.153,6.631,3.357,0.148,0.001,1.951,1.551,0.415,0.015,3.507,0.0,2.247,0.071,7.071,2.438,0.606,0.168,10.138,3.357
2007-09-02,2.267,0.07,5.277,0.952,0.226,0.155,6.898,4.195,0.148,0.001,1.942,1.553,0.416,0.015,3.499,0.0,2.415,0.071,7.219,2.505,0.641,0.17,10.397,4.195
2007-09-03,2.138,0.07,5.379,0.995,0.199,0.173,7.071,3.693,0.148,0.001,1.932,1.555,0.416,0.015,3.492,0.0,2.286,0.071,7.311,2.55,0.615,0.187,10.563,3.693
2007-09-04,3.969,0.081,6.069,1.318,0.295,0.114,8.275,4.124,0.148,0.001,1.923,1.557,0.416,0.015,3.484,0.0,4.117,0.082,7.992,2.876,0.712,0.129,11.759,4.124
2007-09-05,3.309,0.085,7.377,2.076,0.286,0.272,10.667,3.852,0.148,0.001,1.914,1.559,0.417,0.015,3.477,0.0,3.457,0.086,9.291,3.635,0.703,0.287,14.144,3.852
2007-09-06,2.601,0.077,5.75,1.162,0.248,0.245,7.712,3.615,0.148,0.001,1.905,1.561,0.417,0.015,3.47,0.0,2.749,0.078,7.655,2.723,0.665,0.26,11.182,3.615
2007-09-07,2.463,0.073,5.365,0.989,0.24,0.215,7.047,3.787,0.148,0.0,1.897,1.563,0.418,0.015,3.463,0.0,2.611,0.074,7.262,2.552,0.658,0.23,10.51,3.787
2007-09-08,2.358,0.072,5.96,1.264,0.238,0.209,8.082,3.947,0.148,0.0,1.889,1.564,0.418,0.015,3.457,0.0,2.506,0.072,7.85,2.828,0.657,0.224,11.539,3.947
2007-09-09,2.248,0.07,5.969,1.268,0.23,0.198,8.098,3.886,0.148,0.0,1.883,1.566,0.419,0.015,3.452,0.0,2.396,0.071,7.852,2.834,0.649,0.213,11.55,3.886
