SwazGroupName,SwazName,WaterUse,Mon,MonRatio
Ashburton River,Ashburton/Hakatere,agriculture,1,0.3881550312445754
Ashburton River,Ashburton/Hakatere,agriculture,2,0.5353138735248504
Ashburton River,Ashburton/Hakatere,agriculture,3,0.276863683701605
Ashburton River,Ashburton/Hakatere,agriculture,4,0.18150408575659527
Ashburton River,Ashburton/Hakatere,agriculture,5,0.1438830675167647
Ashburton River,Ashburton/Hakatere,agriculture,6,0.19162941416814086
Ashburton River,Ashburton/Hakatere,agriculture,7,0.28692641048291745
Ashburton River,Ashburton/Hakatere,agriculture,8,0.21778900984950472
Ashburton River,Ashburton/Hakatere,agriculture,9,0.11871858639563475
Ashburton River,Ashburton/Hakatere,agriculture,10,0.1458223296163222
Ashburton River,Ashburton/Hakatere,agriculture,11,0.3644160390706351
Ashburton River,Ashburton/Hakatere,agriculture,12,0.4192627648807323
Ashburton River,Ashburton/Hakatere,industry,1,0.05862128244799725
Ashburton River,Ashburton/Hakatere,industry,2,0.012038644425994414
Ashburton River,Ashburton/Hakatere,industry,3,0.007057737723608132
Ashburton River,Ashburton/Hakatere,industry,4,0.46808510638297873
Ashburton River,Ashburton/Hakatere,industry,5,0.014183482689704081
Ashburton River,Ashburton/Hakatere,industry,6,0.18043810298848703
Ashburton River,Ashburton/Hakatere,industry,7,0.013921113689095127
Ashburton River,Ashburton/Hakatere,industry,8,0.030411353572000213
Ashburton River,Ashburton/Hakatere,industry,9,0.14930533912690153
Ashburton River,Ashburton/Hakatere,industry,10,0.26948269637423283
Ashburton River,Ashburton/Hakatere,industry,11,0.3524355300859599
Ashburton River,Ashburton/Hakatere,industry,12,0.00959293329957521
Ashburton River,Ashburton/Hakatere,other,1,0.7079815762695177
Ashburton River,Ashburton/Hakatere,other,2,0.5753431145248452
Ashburton River,Ashburton/Hakatere,other,3,0.9158220041458353
Ashburton River,Ashburton/Hakatere,other,4,0.9437853606832639
Ashburton River,Ashburton/Hakatere,other,5,0.9159522821830023
Ashburton River,Ashburton/Hakatere,other,6,0.8351145859523994
Ashburton River,Ashburton/Hakatere,other,7,0.33761547265851916
Ashburton River,Ashburton/Hakatere,other,8,0.30520412521519485
Ashburton River,Ashburton/Hakatere,other,9,0.32992962095644873
Ashburton River,Ashburton/Hakatere,other,10,0.3868508666795463
Ashburton River,Ashburton/Hakatere,other,11,0.3409268131437477
Ashburton River,Ashburton/Hakatere,other,12,0.7055416060382077
Ashburton River,Ashburton/Hakatere,stockwater,1,0.13085933990463572
Ashburton River,Ashburton/Hakatere,stockwater,2,0.11832669359944632
Ashburton River,Ashburton/Hakatere,stockwater,3,0.15403564613395662
Ashburton River,Ashburton/Hakatere,stockwater,4,0.14870239225499413
Ashburton River,Ashburton/Hakatere,stockwater,5,0.09773089077270199
Ashburton River,Ashburton/Hakatere,stockwater,6,0.15761448349307774
Ashburton River,Ashburton/Hakatere,stockwater,7,0.11250312577799591
Ashburton River,Ashburton/Hakatere,stockwater,8,0.07370825415871758
Ashburton River,Ashburton/Hakatere,stockwater,9,0.07627637045681251
Ashburton River,Ashburton/Hakatere,stockwater,10,0.10133957498200619
Ashburton River,Ashburton/Hakatere,stockwater,11,0.11143638587881836
Ashburton River,Ashburton/Hakatere,stockwater,12,0.10128925253705767
Ashburton River,Ashburton/Hakatere,water_supply,1,0.7827229427059713
Ashburton River,Ashburton/Hakatere,water_supply,2,1.1773687289439683
Ashburton River,Ashburton/Hakatere,water_supply,3,0.9571187674824976
Ashburton River,Ashburton/Hakatere,water_supply,4,0.6142418571053323
Ashburton River,Ashburton/Hakatere,water_supply,5,0.5191230636926454
Ashburton River,Ashburton/Hakatere,water_supply,6,0.42625792499462706
Ashburton River,Ashburton/Hakatere,water_supply,7,0.11293131490741505
Ashburton River,Ashburton/Hakatere,water_supply,8,0.10329176733943961
Ashburton River,Ashburton/Hakatere,water_supply,9,0.13590589703178357
Ashburton River,Ashburton/Hakatere,water_supply,10,0.19900835833819316
Ashburton River,Ashburton/Hakatere,water_supply,11,0.30799655837333145
Ashburton River,Ashburton/Hakatere,water_supply,12,0.33389685396914975
